Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier
2008,1,3,4,2003,1955,2211,2225,WN
2008,1,3,4,754,735,1002,1000,WN
2008,1,3,4,628,620,804,750,WN
2008,1,3,4,926,930,1054,1100,WN
2008,1,3,4,1829,1755,1959,1925,WN
2008,1,3,4,1940,1915,2121,2110,WN
2008,1,3,4,1937,1830,2037,1940,WN
2008,1,3,4,1039,1040,1132,1150,WN
2008,1,3,4,617,615,652,650,WN
2008,1,3,4,1620,1620,1639,1655,WN
2008,1,3,4,706,700,916,915,WN
2008,1,3,4,1644,1510,1845,1725,WN
2008,1,3,4,1426,1430,1426,1425,WN
2008,1,3,4,715,715,720,710,WN
2008,1,3,4,1702,1700,1651,1655,WN
2008,1,3,4,1029,1020,1021,1010,WN
2008,1,3,4,1452,1425,1640,1625,WN
2008,1,3,4,754,745,940,955,WN
2008,1,3,4,1323,1255,1526,1510,WN
2008,1,3,4,1416,1325,1512,1435,WN
2008,1,3,4,706,705,807,810,WN
2008,1,3,4,1657,1625,1754,1735,WN
2008,1,3,4,1900,1840,1956,1950,WN
2008,1,3,4,1039,1030,1133,1140,WN
2008,1,3,4,801,800,902,910,WN
2008,1,3,4,1520,1455,1619,1605,WN
2008,1,3,4,1422,1255,1657,1610,WN
2008,1,3,4,1954,1925,2239,2235,WN
2008,1,3,4,636,635,921,945,WN
2008,1,3,4,734,730,958,1020,WN
2008,1,3,4,2107,1945,2334,2230,WN
